Series Code,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,total_receipts_sum,continent
ST.INT.RCPT.CD,St. Vincent and the Grenadines,VCT,,,,,,,,,,,,,,,178500000.00,211100006.10,221300003.10,215399993.90,231000000.00,255000000.00,85000000.00,1397300003.00,Null
ST.INT.RCPT.CD,Sudan,SDN,5000000.00,3000000.00,108000000.00,17000000.00,21000000.00,114000000.00,194000000.00,390000000.00,255000000.00,231000000.00,82000000.00,179000000.00,772000000.00,773000000.00,967000000.00,949000000.00,1009000000.00,1029000000.00,1043000000.00,,,8141000000.00,Africa
ST.INT.RCPT.CD,Suriname,SUR,42000000.00,26000000.00,17000000.00,18000000.00,52000000.00,96000000.00,109000000.00,73000000.00,83000000.00,70000000.00,69000000.00,69000000.00,79000000.00,92000000.00,103000000.00,99000000.00,74000000.00,61000000.00,73000000.00,64000000.00,19000000.00,1388000000.00,South America
ST.INT.RCPT.CD,Sweden,SWE,4825000000.00,5200000000.00,5671000000.00,6548000000.00,7686000000.00,7628000000.00,9714000000.00,11889000000.00,11732000000.00,9769000000.00,10674000000.00,,,,,,,,,,,91336000000.00,Europe
ST.INT.RCPT.CD,Switzerland,CHE,9058000000.00,9392000000.00,9198000000.00,10427000000.00,11217000000.00,11914000000.00,12961000000.00,14934000000.00,18016000000.00,17023000000.00,17883000000.00,20809000000.00,19564000000.00,20236000000.00,21358000000.00,20140000000.00,19787000000.00,20399000000.00,21294000000.00,21257000000.00,9994000000.00,337000000000.00,Europe
ST.INT.RCPT.CD,Syria,SYR,,,,877000000.00,1883000000.00,2035000000.00,2113000000.00,2972000000.00,3176000000.00,3781000000.00,6308000000.00,1816000000.00,,,,,,,,,,24961000000.00,Asia
ST.INT.RCPT.CD,Tajikistan,TJK,,,5000000.00,6199999.81,9600000.38,9100000.38,11199999.81,16500000.00,23700000.76,19500000.00,141500000.00,184100006.10,286600006.10,233300003.10,220199996.90,146000000.00,149600006.10,171600006.10,170899993.90,179100006.10,102400001.50,2086100027.00,Asia
ST.INT.RCPT.CD,Tanzania,TZA,381000000.00,626000000.00,639000000.00,654000000.00,762000000.00,835000000.00,986000000.00,1215000000.00,1293000000.00,1192000000.00,1279000000.00,1383000000.00,1754000000.00,1939000000.00,2047000000.00,1924000000.00,2149000000.00,2265000000.00,2465000000.00,2624500000.00,,28412500000.00,Africa
ST.INT.RCPT.CD,Thailand,THA,9935000000.00,9378000000.00,10388000000.00,10456000000.00,13054000000.00,12103000000.00,16624000000.00,20625000000.00,22510000000.00,19811000000.00,23796000000.00,30924000000.00,34565000000.00,41765000000.00,38451000000.00,44851000000.00,48459000000.00,57057000000.00,61383000000.00,64371000000.00,15360000000.00,606000000000.00,Asia
ST.INT.RCPT.CD,Timor-Leste,TLS,,,,,,,20300000.00,26000000.00,14000000.00,16000000.00,24000000.00,18000000.00,21000000.00,29000000.00,35000000.00,51000000.00,58000000.00,73000000.00,78000000.00,,,463300000.00,Null
ST.INT.RCPT.CD,Togo,TGO,11000000.00,14000000.00,16000000.00,26000000.00,25000000.00,27000000.00,23000000.00,38000000.00,44000000.00,73000000.00,105000000.00,209000000.00,206000000.00,233000000.00,233000000.00,212000000.00,223000000.00,245000000.00,269000000.00,264000000.00,,2496000000.00,Africa
ST.INT.RCPT.CD,Tonga,TON,,,,,13100000.38,15000000.00,,15199999.81,18000000.00,18399999.62,17299999.24,32500000.00,40000000.00,47000000.00,38299999.24,46400001.53,52700000.76,48500000.00,48099998.47,57099998.47,47700000.76,555299998.30,Oceania
ST.INT.RCPT.CD,Trinidad and Tobago,TTO,371000000.00,361000000.00,402000000.00,437000000.00,568000000.00,593000000.00,517000000.00,621000000.00,557000000.00,548000000.00,630000000.00,650000000.00,852000000.00,856000000.00,875000000.00,809000000.00,708000000.00,717000000.00,541000000.00,481000000.00,151000000.00,12245000000.00,North America
ST.INT.RCPT.CD,Tunisia,TUN,1977000000.00,2061000000.00,1831000000.00,1935000000.00,2432000000.00,2800000000.00,2999000000.00,3373000000.00,3909000000.00,3524000000.00,3477000000.00,2529000000.00,2931000000.00,2863000000.00,3042000000.00,1869000000.00,1706000000.00,1782000000.00,2320000000.00,2683000000.00,1007000000.00,53050000000.00,Africa
ST.INT.RCPT.CD,Turkey,TUR,,,,,,20760000000.00,19137000000.00,21662000000.00,26446000000.00,26331000000.00,26318000000.00,30302000000.00,31566000000.00,37984000000.00,40028000000.00,35648000000.00,26505000000.00,31993000000.00,36791000000.00,41415000000.00,13771000000.00,467000000000.00,Asia
ST.INT.RCPT.CD,Turkmenistan,TKM,,,,,,,,,,,,,,,,,,,,,,0.00,Asia
ST.INT.RCPT.CD,Turks and Caicos Islands,TCA,285000000.00,311000000.00,292000000.00,,,,,,,,,,,,,,,,,,,888000000.00,Null
ST.INT.RCPT.CD,Tuvalu,TUV,,,,,,1200000.00,1200000.00,1500000.00,1900000.00,1500000.00,2400000.00,2400000.00,2700000.00,2400000.00,,,,,,,,17200000.00,Oceania
ST.INT.RCPT.CD,Uganda,UGA,,187000000.00,194000000.00,185000000.00,268000000.00,382000000.00,347000000.00,402000000.00,536000000.00,683000000.00,802000000.00,977000000.00,1157000000.00,960000000.00,984000000.00,1049000000.00,1118000000.00,954000000.00,1522000000.00,1400000000.00,518000000.00,14625000000.00,Africa
ST.INT.RCPT.CD,Ukraine,UKR,563000000.00,759000000.00,1001000000.00,1204000000.00,2931000000.00,3542000000.00,4018000000.00,5320000000.00,6722000000.00,4349000000.00,4696000000.00,5406000000.00,5988000000.00,5931000000.00,2264000000.00,1662000000.00,1723000000.00,2019000000.00,2269000000.00,2595000000.00,687000000.00,65649000000.00,Europe
ST.INT.RCPT.CD,United Arab Emirates,ARE,1063000000.00,1200000000.00,1332000000.00,1438000000.00,1593000000.00,3218000000.00,4972000000.00,6072000000.00,7162000000.00,7352000000.00,8577000000.00,9204000000.00,10924000000.00,12389000000.00,15221000000.00,25587099609.00,28657400391.00,29705500000.00,34609500000.00,38413300781.00,24615400391.00,273000000000.00,Asia
ST.INT.RCPT.CD,United Kingdom,GBR,,,,,,,,,,,,,,,,,,,,,,0.00,Europe
ST.INT.RCPT.CD,United States of America,USA,118000000000.00,105000000000.00,97415000000.00,94814000000.00,107000000000.00,117000000000.00,121000000000.00,135000000000.00,149000000000.00,137000000000.00,162000000000.00,179000000000.00,195000000000.00,213000000000.00,223000000000.00,231000000000.00,229000000000.00,234000000000.00,242000000000.00,239000000000.00,84205000000.00,3410000000000.00,North America
ST.INT.RCPT.CD,Uruguay,URY,827000000.00,700000000.00,409000000.00,419000000.00,591000000.00,699000000.00,711000000.00,928000000.00,1195000000.00,1460000000.00,1669000000.00,2401000000.00,2666000000.00,2481000000.00,2341000000.00,2349000000.00,2396000000.00,2924000000.00,2708000000.00,2335000000.00,1085000000.00,33294000000.00,South America
ST.INT.RCPT.CD,Uzbekistan,UZB,63000000.00,72000000.00,68000000.00,48000000.00,57000000.00,,,,,,,,,,660000000.00,688000000.00,579000000.00,835000000.00,1314000000.00,1679000000.00,395000000.00,6458000000.00,Asia
ST.INT.RCPT.CD,Vanuatu,VUT,69000000.00,58000000.00,72000000.00,83000000.00,93000000.00,104000000.00,109000000.00,142000000.00,188000000.00,214000000.00,242000000.00,249000000.00,268000000.00,314000000.00,284000000.00,254000000.00,275000000.00,289000000.00,325000000.00,295000000.00,67000000.00,3994000000.00,Oceania
ST.INT.RCPT.CD,Venezuela,VEN,469000000.00,677000000.00,484000000.00,378000000.00,554000000.00,722000000.00,843000000.00,972000000.00,1097000000.00,1053000000.00,885000000.00,806000000.00,904000000.00,926000000.00,900000000.00,654000000.00,546000000.00,,,,,12870000000.00,South America
ST.INT.RCPT.CD,Vietnam,VNM,,,,1400000000.00,1700000000.00,2300000000.00,2850000000.00,3750000000.00,3930000000.00,3050000000.00,4450000000.00,5710000000.00,6850000000.00,7250000000.00,7410000000.00,7350000000.00,8500000000.00,8890000000.00,10080000000.00,11830000000.00,3232000000.00,101000000000.00,Asia
ST.INT.RCPT.CD,Virgin Islands (U.S.),VIR,1206000000.00,1234000000.00,1195000000.00,1257000000.00,1356000000.00,1432000000.00,1468000000.00,1513000000.00,1157000000.00,1021000000.00,1223000000.00,1122000000.00,1210000000.00,1168000000.00,1319000000.00,1324000000.00,1343000000.00,1202000000.00,993000000.00,1031000000.00,686000000.00,25460000000.00,Null
ST.INT.RCPT.CD,West Bank and Gaza,PSE,94000000.00,14000000.00,14000000.00,66000000.00,84000000.00,52000000.00,25000000.00,99000000.00,146000000.00,193000000.00,409000000.00,615000000.00,469000000.00,524000000.00,412000000.00,312000000.00,235000000.00,225000000.00,245000000.00,,,4233000000.00,Null
ST.INT.RCPT.CD,Yemen,YEM,,,,,,,,,,,1291000000.00,910000000.00,1005000000.00,1097000000.00,1199000000.00,116000000.00,116000000.00,,,,,5734000000.00,Asia
ST.INT.RCPT.CD,Zambia,ZMB,,,,,,,,,,,,,,,,,,,,,,0.00,Africa
ST.INT.RCPT.CD,Zimbabwe,ZWE,125000000.00,81000000.00,76000000.00,61000000.00,194000000.00,99000000.00,338000000.00,365000000.00,294000000.00,129000000.00,135000000.00,164000000.00,174000000.00,183000000.00,186000000.00,191000000.00,194000000.00,158000000.00,191000000.00,285000000.00,66000000.00,3689000000.00,Africa
ST.INT.RCPT.CD,Africa Eastern and Southern,AFE,7035528873.00,7489514346.00,8266443184.00,12204601548.00,14437267235.00,16105273905.00,18031562938.00,20973170451.00,20408316343.00,19179935926.00,22022165207.00,24202048004.00,26393212256.00,26053231119.00,27220802346.00,25119401605.00,24305252594.00,26552526185.00,28672643620.00,27810935914.00,,402000000000.00,Null
ST.INT.RCPT.CD,Africa Western and Central,AFW,1475215373.00,1629462885.00,1840559322.00,2094376181.00,2158285284.00,2740615084.00,3074292754.00,4003336033.00,4900188000.00,4254369558.00,4034222723.00,4564552103.00,4741440190.00,5072423448.00,5059666955.00,4341562037.00,5481752264.00,7387315888.00,7230774394.00,,,76084410479.00,Null
ST.INT.RCPT.CD,Arab World,ARB,,,,29586477672.00,34671162031.00,40184504882.00,46282122295.00,55384830967.00,61950764464.00,62406375267.00,72002050459.00,63688193204.00,70933565986.00,69505430690.00,78173558300.00,89547572197.00,93401986638.00,108000000000.00,120000000000.00,132000000000.00,,1230000000000.00,Null
